symbol,last_price,open_24h,high_24h,low_24h,change_24h_pct,bid_price,ask_price,bid_size,ask_size,base_volume_24h,quote_volume_24h,openUtc,changeUtc24h,timestamp_api,channel,type,timestamp_received,spread,spread_pct
TRXUSDT,0.2931,0.2837,0.2941,0.282,0.03826,0.293,0.2931,141155.16,948.3567,46130879.7917,13294101.3537,0.2869,0.02161,2025-06-10 14:23:19.403,ticker,SPOT,2025-06-10 21:23:19.397568,0.0001000000000000445,0.03411804844764397
LINKUSDT,15.05,13.92,15.34,13.86,0.08196,15.04,15.05,961.9093,389.2549,845279.3956,12402197.9072,14.35,0.04878,2025-06-10 14:23:19.403,ticker,SPOT,2025-06-10 21:23:19.397674,0.010000000000001563,0.06644518272426288
BTCUSDT,108976.43,107633.51,110500.0,107508.08,0.01299,108976.42,108976.43,0.850095,0.11849,6888.938833,752098474.332947,110238.91,-0.01145,2025-06-10 14:23:19.405,ticker,SPOT,2025-06-10 21:23:19.397761,0.00999999999476131,9.176296190617836e-06
ETHUSDT,2739.16,2534.53,2797.6,2527.2,0.08133,2739.16,2739.17,9.1589,0.2525,309219.6282,830462220.4494,2680.12,0.02203,2025-06-10 14:23:19.407,ticker,SPOT,2025-06-10 21:23:19.397844,0.010000000000218279,0.00036507542459068767
XRPUSDT,2.2844,2.2626,2.3293,2.2495,0.01344,2.2843,2.2844,5752.6569,1324.4313,37188259.9262,85403009.3833,2.3206,-0.0156,2025-06-10 14:23:19.410,ticker,SPOT,2025-06-10 21:23:19.401379,0.00010000000000021103,0.00437751707232582
BNBUSDT,661.7,656.6,668.0,654.6,0.01038,661.7,661.8,3.6554,0.8839,5213.911,3453642.1336,665.6,-0.00586,2025-06-10 14:23:19.411,ticker,SPOT,2025-06-10 21:23:19.402908,0.09999999999990905,0.015112588786445376
SOLUSDT,158.21,155.02,161.95,153.74,0.02514,158.21,158.22,33.1733,4.1264,982786.0291,155739319.1931,161.12,-0.01806,2025-06-10 14:23:19.412,ticker,SPOT,2025-06-10 21:23:19.401487,0.009999999999990905,0.006320712976417992
ADAUSDT,0.6971,0.6737,0.7155,0.6683,0.03998,0.6971,0.6972,4816.574,2426.492,26059646.654,18163633.143,0.7047,-0.01078,2025-06-10 14:23:19.416,ticker,SPOT,2025-06-10 21:23:19.410397,9.999999999998899e-05,0.014345144168697314
AVAXUSDT,21.96,21.03,22.47,20.86,0.05172,21.96,21.97,244.189,155.986,476978.3264,10414900.1111,21.95,0.00046,2025-06-10 14:23:19.417,ticker,SPOT,2025-06-10 21:23:19.410228,0.00999999999999801,0.04553734061929877
DOTUSDT,4.23,4.02,4.306,4.005,0.05302,4.23,4.231,79.4495,117.5,1257485.2687,5236730.2137,4.152,0.01879,2025-06-10 14:23:19.418,ticker,SPOT,2025-06-10 21:23:19.410491,0.0009999999999994458,0.023640661938521174
